minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
5,6,0.4,0.4,10,450,384,0.63773201459562,6662.774617067834,23314356.14814815,5.555555555555555,6662.82056892779,0.25509280583824806,0,0.05790182984905479,1745,4919,18003,0.2469135802469136,0.9102844638949672,0.744907194161752,18003,2.5,2.083333333333333,0.0897155361050328,20.72082939906338,18003,209.85999999999996,338.19444444444423,0.0897155361050328
3,8,0.4,0.4,15,300,896,0.2971060732506131,13163.38429752066,23621358.933333334,4.2,13163.495867768595,0.23579847083381988,0,0.025141834077380954,5578,12814,27351,1.7600000000000002,0.6157024793388429,0.7642015291661801,27351,1.26,3.6750000000000003,0.3842975206611571,21.78834470764359,27351,49.701599999999985,1176.7375,1.6070582610477433
3,8,0.6,0.6,15,200,384,0.20413649356051444,27825.931297709925,26430236.444444444,3.4166666666666665,27826.1679389313,0.2987363320397772,0.17557251908396945,0.06564020227502894,9096,24204,57428,0.24305555555555558,0.3816793893129771,0.7012636679602229,57428,0.6833333333333332,1.28125,0.6183206106870229,18.405010019997146,57428,12.93333333333333,107.62890625,6.918037410407319
6,8,0.4,0.7,10,300,896,0.5335616997848476,8141.8594164456235,23277021.866666667,6.8,8141.907161803713,0.26154985283570964,0,0.02477533249627976,3010,6464,21862,0.96,0.8461538461538461,0.7384501471642904,21862,2.04,5.95,0.15384615384615385,20.369560461654924,21862,137.52960000000002,3254.95,0.15384615384615385
2,4,0.3,0.7,10,450,384,0.31574950454771433,32009.806015037593,26262118.4,2,32009.836090225563,0.35083278283079367,0.675187969924812,0.06522267659505208,26910,39776,39776,0,0.16090225563909774,0.6491672171692063,39776,0.9,0.75,0.8390977443609022,15.820217947668818,39776,23.940000000000005,7,15.543151110859858
4,8,0.6,0.6,15,400,512,0.5339315579902232,9432.719444444445,23578316.8,4.4,9432.775,0.3033702034035358,0.027777777777777776,0.04391803741455078,2767,5980,27840,0.24,0.7416666666666667,0.6966297965964642,27840,1.7600000000000002,2.2,0.2583333333333333,18.167180442813585,27840,100.96160000000002,382.45,0.38083333333333313
5,8,0.6,0.6,15,200,384,0.2643074536504347,20473.76923076923,26034117.485714287,5,20473.861538461537,0.2643074536504347,0,0.06465643019903274,6457,12784,43961,0,0.5128205128205128,0.7356925463495654,43961,1,1.875,0.4871794871794872,20.22045936550463,43961,30.160000000000004,265.9375,3.456173570019724
5,8,0.7,0.7,10,250,896,0.36128075102453067,13063.964285714286,23415714.90909091,5,13064.055555555555,0.28902460081962456,0,0.024922953023538964,5855,11400,30091,0,0.6666666666666666,0.7109753991803754,30091,1.25,4.375,0.33333333333333337,18.90847205580937,30091,48.85999999999999,1705.9375,0.9733333333333336
3,8,0.7,0.6,10,200,384,0.2131100400991877,32979.730158730155,23623207.384615384,3,32979.78835978836,0.35518340016531275,0.455026455026455,0.058668870192307696,17321,39075,48510,0,0.19047619047619047,0.6448165998346873,48510,0.6,1.125,0.8095238095238095,15.613200707039908,48510,9.6,77.6875,14.184217687074833
6,8,0.4,0.7,15,300,384,0.45614214986622004,9489.289156626506,26011443.2,6.6,9489.35843373494,0.23037482316475763,0,0.06460011800130208,2845,8033,22285,0.8400000000000001,0.7439759036144579,0.7696251768352423,22285,1.98,2.4749999999999996,0.25602409638554213,22.093250038307648,22285,129.21839999999997,497.53749999999985,0.36901727391493666
