minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
6,8,0.4,0.7,10,300,896,0.5335616997848476,8141.8594164456235,23277021.866666667,6.8,8141.907161803713,0.26154985283570964,0,0.02477533249627976,3010,6464,21862,0.96,0.8461538461538461,0.7384501471642904,21862,2.04,5.95,0.15384615384615385,20.369560461654924,21862,137.52960000000002,3254.95,0.15384615384615385
5,6,0.4,0.4,10,450,384,0.63773201459562,6662.774617067834,23314356.14814815,5.555555555555555,6662.82056892779,0.25509280583824806,0,0.05790182984905479,1745,4919,18003,0.2469135802469136,0.9102844638949672,0.744907194161752,18003,2.5,2.083333333333333,0.0897155361050328,20.72082939906338,18003,209.85999999999996,338.19444444444423,0.0897155361050328
3,6,0.7,0.4,15,300,640,0.3030801917327832,16014.210045662101,23624362.666666668,3,16014.28310502283,0.33675576859198136,0.0091324200913242,0.035203043619791666,4959,16166,34001,0,0.4703196347031963,0.6632442314080187,34001,0.9,1.875,0.5296803652968036,16.499389009264505,34001,23.940000000000005,265.9375,4.4424895227372225
5,8,0.7,0.7,10,250,640,0.34038712628691037,13539.955823293172,23379670.10909091,5,13540.020080321285,0.2723097010295283,0,0.03483842329545455,4442,10694,32570,0,0.6184738955823293,0.7276902989704717,32570,1.25,3.125,0.38152610441767065,19.790884462736916,32570,48.85999999999999,829.6875,1.5677882614796532
2,4,0.3,0.7,10,450,384,0.31574950454771433,32009.806015037593,26262118.4,2,32009.836090225563,0.35083278283079367,0.675187969924812,0.06522267659505208,26910,39776,39776,0,0.16090225563909774,0.6491672171692063,39776,0.9,0.75,0.8390977443609022,15.820217947668818,39776,23.940000000000005,7,15.543151110859858
6,8,0.7,0.7,10,200,896,0.31461969532782014,16998.262910798123,26733852.444444444,6,16998.328638497653,0.26218307943985003,0,0.02845467461480035,6340,18087,34457,0,0.4413145539906103,0.7378169205601499,34457,1.2,5.25,0.5586854460093897,20.335274018095202,34457,44.76,2505.25,5.190274416451763
3,8,0.6,0.6,15,200,384,0.20413649356051444,27825.931297709925,26430236.444444444,3.4166666666666665,27826.1679389313,0.2987363320397772,0.17557251908396945,0.06564020227502894,9096,24204,57428,0.24305555555555558,0.3816793893129771,0.7012636679602229,57428,0.6833333333333332,1.28125,0.6183206106870229,18.405010019997146,57428,12.93333333333333,107.62890625,6.918037410407319
3,7,0.5,0.6,15,200,1024,0.2037130726220093,49077.861720067456,23668167.11111111,3,49077.87689713322,0.33952178770334873,0.7774030354131535,0.02204269833034939,55727,55727,55727,0,0.07588532883642496,0.6604782122966513,55727,0.6,3,0.924114671163575,16.364811093365542,55727,9.6,759.25,19.800428722959545
7,8,0.4,0.6,10,350,640,0.6616665163112017,7003.778554778555,23289329.37142857,7.3,7003.81351981352,0.2589692823135819,0,0.03470380510602679,2079,5319,18031,0.21000000000000002,0.8881118881118881,0.7410307176864181,18031,2.555,4.5625,0.11188811188811187,20.509585601660945,18031,219.52790000000002,1864.328125,0.11188811188811187
4,8,0.6,0.6,15,400,512,0.5339315579902232,9432.719444444445,23578316.8,4.4,9432.775,0.3033702034035358,0.027777777777777776,0.04391803741455078,2767,5980,27840,0.24,0.7416666666666667,0.6966297965964642,27840,1.7600000000000002,2.2,0.2583333333333333,18.167180442813585,27840,100.96160000000002,382.45,0.38083333333333313
