minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_P95,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_P95,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
7,8,0.5,0.4,10,350,576,0.6914150063312825,7531.181395348837,25322466.742857143,7.3,7531.223255813953,0.2706125269398366,0.018604651162790697,0.041926017640128974,2303,5097,23607,0.21000000000000002,0.8697674418604651,0.7293874730601634,23607,2.555,4.10625,0.13023255813953494,19.881606563915422,23607,219.52790000000002,1491.17265625,0.13023255813953494
6,8,0.7,0.5,15,200,384,0.31526708271754056,15858.46261682243,26437942.3030303,6,15858.509345794393,0.26272256893128376,0,0.06565933998184975,4282,13935,36688,0,0.5280373831775701,0.7372774310687162,36688,1.2,2.25,0.4719626168224299,20.306085804146996,36688,44.76,402.25,3.1346545549829683
4,7,0.4,0.4,15,250,768,0.2781045868410193,17799.533653846152,27095040,4,17799.610576923078,0.2781045868410193,0.0625,0.0336456298828125,4468,14423,46275,0,0.5144230769230769,0.7218954131589808,46275,1,3,0.48557692307692313,19.482682964598098,46275,30.160000000000004,759.25,3.4215273668639057
4,6,0.5,0.3,10,400,768,0.5267144120966087,8194.765171503957,23520665.6,4.8,8194.807387862797,0.27433042296698373,0,0.029207102457682294,2514,5208,21551,0.96,0.7915567282321899,0.7256695770330163,21551,1.92,3.5999999999999996,0.20844327176781008,19.68313763815898,21551,121.16639999999997,1125.85,0.21100966994103362
3,8,0.4,0.6,15,250,512,0.23509621240846199,14747.27149321267,23588727.46666667,4.5,14747.339366515836,0.208974411029744,0,0.04393742879231771,6762,12414,34063,2.25,0.583710407239819,0.791025588970256,34063,1.125,2.25,0.41628959276018096,23.31699895557691,34063,38.94749999999999,402.25,2.100412358469318
6,8,0.5,0.3,15,300,256,0.4865464923039172,9205.631428571429,23349111.466666665,6.6,9205.685714285713,0.24573055166864508,0,0.08698221842447916,3006,6764,23862,0.8400000000000001,0.7914285714285715,0.7542694483313549,23862,1.98,1.65,0.20857142857142852,21.235475873030463,23862,129.21839999999997,197.65,0.21121632653061215
6,7,0.4,0.7,10,450,384,0.6945122247445799,5825.667315175097,23299868.444444444,6.444444444444445,5825.710116731518,0.2394869740498551,0,0.057865849247685196,1781,3996,16123,0.2469135802469136,0.9299610894941635,0.7605130259501449,16123,2.9,2.416666666666667,0.07003891050583655,21.5821952809846,16123,285.1399999999999,471.8611111111113,0.07003891050583655
3,6,0.5,0.5,15,500,256,0.4838162026899846,8200.92513368984,23610102.51851852,3.4444444444444446,8200.986631016043,0.28092553704579754,0,0.08795448585792824,2663,7200,18589,0.2469135802469136,0.820855614973262,0.7190744629542025,18589,1.7222222222222223,0.8611111111111112,0.17914438502673802,19.333525460777697,18589,96.46000000000002,19.1604938271605,0.17914438502673802
2,8,0.7,0.4,15,400,576,0.28886391591066946,14083.237885462555,23814144,2.4,14083.290748898678,0.30089991240694736,0,0.0394287109375,5545,12481,28132,0.24,0.5506607929515418,0.6991000875930526,28132,0.96,1.3499999999999999,0.4493392070484582,18.293773656607154,28132,27.585600000000003,122.34999999999995,2.6874606532243988
4,5,0.3,0.3,10,400,256,0.4620365764126433,8171.158602150537,23425820.444444444,4.555555555555555,8171.236559139785,0.2535566577874262,0,0.08726798163519965,2698,7808,18399,0.2469135802469136,0.8521505376344086,0.7464433422125738,18399,1.8222222222222222,1.1388888888888888,0.14784946236559138,20.80483921501776,18399,108.59999999999998,80.15123456790124,0.14784946236559138
