minReplicas,maxReplicas,cpuThreshold,memoryThreshold,stabilizationWindowSeconds,cpuRequest,memoryRequest,AVG_CPU,AVG_LATENCY,AVG_MEMORY,AVG_REPLICAS,AVG_RESPONSE_TIME,CPU_EFFICIENCY,ERROR_RATE,MEMORY_EFFICIENCY,P25,P50,P95,REPLICA_VARIANCE,SLA_PERCENTAGE,raw_CPU_EFFICIENCY_LOSS,raw_MEMORY_EFFICIENCY_LOSS,raw_PROVISIONED_CPU,raw_PROVISIONED_MEMORY,raw_SLA_VIOLATION,penalized_CPU_EFFICIENCY_LOSS,penalized_MEMORY_EFFICIENCY_LOSS,penalized_PROVISIONED_CPU,penalized_PROVISIONED_MEMORY,penalized_SLA_VIOLATION
1,4,0.8,0.7,15,150,640,0.0693520094041659,12683.276160276737,24094378.666666668,1,12683.27788988181,0.46234672936110605,0.9985586624387431,0.03590342203776042,12689,12689,12689,0,0.0014413375612568463,0.5376532706388939,0.9640965779622396,0.15,0.625,0.9985586624387431,7.7644292563563875,24.20115186892476,0.21249999999999997,4.140625,11.201693660134014
3,4,0.7,0.6,20,500,1024,0.46359485752074725,9066.111111111111,23691870.814814817,3,9066.16081871345,0.3090632383471648,0,0.02206477412471065,2435,7992,21282,0,0.783625730994152,0.6909367616528352,0.9779352258752894,1.5,3,0.216374269005848,12.625776976735507,24.88686787606912,50.5,192.0625,0.220664135973462
4,6,0.5,0.7,15,100,768,0.11384087541811504,40072.51282051282,23344308.70588235,4.470588235294118,40072.581196581195,0.2546440634352573,0.21367521367521367,0.028988108915441176,34378,41863,57942,0.7197231833910035,0.10256410256410256,0.7453559365647426,0.9710118910845589,0.4470588235294118,3.3529411764705883,0.8974358974358975,14.634242740872358,24.54261420677484,3.4583044982698965,244.05903979238755,8.680105193951347
1,2,0.7,0.5,20,400,512,0.1779676016974114,47025.16287215411,28875310.545454547,1,47025.17162872154,0.4449190042435285,0.87215411558669,0.05378445712002841,51626,51626,51626,0,0.06830122591943957,0.5550809957564715,0.9462155428799716,0.4,0.5,0.9316987740805605,8.257953792006369,23.329311882570952,2.650000000000001,2.0625,9.497828309936482
2,4,0.8,0.5,20,450,256,0.34950774551608965,14699.59349593496,24027750.4,2,14699.634146341463,0.3883419394623219,0.036585365853658534,0.08951034545898437,6817,12297,30026,0,0.516260162601626,0.6116580605376781,0.9104896545410156,0.9,0.5,0.483739837398374,9.964797636055527,21.635274930196466,16.9,2.0625,1.7718725626280656
5,6,0.5,0.6,15,350,576,0.4811035113165166,9543.218289085546,23445913.6,5,9543.277286135693,0.2749162921808666,0,0.03881903754340278,2632,8002,22450,0,0.7492625368731564,0.7250837078191334,0.9611809624565972,1.75,2.8125,0.25073746312684364,13.868743291437697,24.05790202718136,69.8125,166.97265625,0.2919261057596087
2,5,0.5,0.8,20,200,512,0.21259955765132488,32767.715277777777,23583914.666666668,3,32767.777777777777,0.3543325960855414,0.2569444444444444,0.04392846425374349,8518,35619,59395,0.8333333333333334,0.2916666666666667,0.6456674039144585,0.9560715357462565,0.6,1.5,0.7083333333333333,11.067827315855373,23.807891072351392,6.85,40.5625,4.842777777777777
1,4,0.6,0.8,10,400,768,0.19079077812845538,45160.17733990148,24507733.333333332,1,45160.231527093594,0.4769769453211385,0.5960591133004927,0.030432807074652776,23532,60763,60763,0,0.13793103448275862,0.5230230546788615,0.9695671929253472,0.4,0.75,0.8620689655172413,7.361850947819045,24.47108073285378,2.650000000000001,7,7.875434007134364
5,6,0.6,0.7,15,400,384,0.6059622772528689,7877.65206185567,23468605.44,5.2,7877.7139175257735,0.29132801791003315,0,0.058284912109374996,2355,6068,19367,0.15999999999999998,0.8505154639175257,0.7086719820899668,0.941715087890625,2.08,1.9500000000000002,0.14948453608247425,13.264071437073026,23.112397756911815,100.09,74.2,0.14948453608247425
4,6,0.8,0.8,10,200,576,0.24479651743539846,25544.67948717949,23426978.90909091,4,25544.75641025641,0.30599564679424807,0.1282051282051282,0.03878768766769255,5894,21653,59736,0,0.391025641025641,0.6940043532057519,0.9612123123323074,0.8,2.25,0.608974358974359,12.735055409919104,24.059440046812842,13.050000000000004,102.25,3.285134779750165
